游戏名称,批评空间链接,图片链接,会社,游戏官网,中央值,平均值,标准偏差,评论数
家族計画 ～絆箱～(家族計画 ～追憶～),https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2487#ad,https://pics.dmm.co.jp/digital/pcgame/cdb_0143/cdb_0143ps.jpg,D.O.(ディーオー),http://www.do-game.co.jp/r18/products/kazoku/,90,87.70,13,2223
サクラノ詩 -櫻の森の上を舞う-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=4529#ad,https://pics.dmm.co.jp/digital/pcgame/mnphs_0002/mnphs_0002ps.jpg,枕,https://www.makura-soft.com/sakuranouta/index.html,90,88.46,12,2220
STEINS;GATE,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=13842#ad,https://pics.dmm.co.jp/mono/game/879apc00017/879apc00017ps.jpg,NitroPlus,http://steinsgate.jp/,90,89.09,10,2037
Ever17 -the out of infinity- Premium Edition,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5124#ad,https://www.suruga-ya.jp/pics/boxart_m/145009552m.jpg,KID,None,90,87.14,12,1579
鬼畜王ランス,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=204#ad,https://www.suruga-ya.jp/pics/boxart_m/145000078m.jpg,ALICESOFT,http://retropc.net/alice/30.html,90,87.28,12,1470
白昼夢の青写真,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=28941#ad,https://pics.dmm.co.jp/digital/pcgame/hobe_0494/hobe_0494ps.jpg,Laplacian,https://laplacian.jp/yonagi/,90,87.76,12,1139
抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか? 2,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=27720#ad,https://pics.dmm.co.jp/digital/pcgame/qruppo_0002/qruppo_0002ps.jpg,Qruppo,https://qruppo.com/products/nukitashi2/,90,87.69,9,1111
"さくら、もゆ。 -as the Night's, Reincarnation-",https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=26245#ad,https://pics.dmm.co.jp/digital/pcgame/favorite_0011/favorite_0011ps.jpg,FAVORITE,http://www.favo-soft.jp/soft/product/sakura/,90,86.05,17,915
CLANNAD FULL VOICE,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=10511#ad,https://www.suruga-ya.jp/pics/boxart_m/145017585m.jpg,Key,https://key.visualarts.gr.jp/product/clannad/,90,87.10,14,867
ヘンタイ・プリズン,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=31550#ad,https://pics.dmm.co.jp/digital/pcgame/qruppo_0004/qruppo_0004ps.jpg,Qruppo,https://qruppo.com/products/henpri/,90,88.42,12,808
Summer Pockets REFLECTION BLUE,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=29016#ad,https://pics.dmm.co.jp/digital/pcgame/vsat_0256/vsat_0256ps.jpg,Key,https://key.visualarts.gr.jp/summer_rb/,90,89.02,9,791
BALDR FORCE,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2345#ad,https://www.suruga-ya.jp/pics/boxart_m/145006882m.jpg,戯画,None,90,86.77,11,720
シンフォニック=レイン 愛蔵版,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=6087#ad,https://img.dlsite.jp/modpub/images2/work/professional/VJ012000/VJ011519_img_main.jpg,工画堂スタジオ,https://www.kogado.com/sw/contents/kuroneko/sraz/index.htm,90,87.78,11,584
天ノ少女《PREMIUM EDITION》,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=22704#ad,https://pics.dmm.co.jp/digital/pcgame/gung_0009/gung_0009ps.jpg,Innocent Grey,http://www.gungnir.co.jp/innocentgrey/products/pro_shell3/index.html,90,88.87,10,560
Fate/stay night [Realta Nua],https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=7441#ad,https://www.suruga-ya.jp/pics/boxart_m/144003522m.jpg,角川書店,https://www.kadokawagames.co.jp/game/fatevita/,90,87.02,13,356
うたわれるもの -散りゆく者への子守唄-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=6200#ad,https://www.suruga-ya.jp/pics/boxart_m/144200074m.jpg,AQUAPLUS,https://aquaplus.jp/uta/chiri_psp/,90,87.70,9,346
Dies irae ～Amantes amentes～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=17131#ad,https://pics.dmm.co.jp/digital/pcgame/views_0568/views_0568ps.jpg,light,http://www.light.gr.jp/light/products/diesirae_cs/windows/index.html,90,87.29,12,345
AIR,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5485#ad,https://www.suruga-ya.jp/pics/boxart_m/144000691m.jpg,GungHo Works(Interchannel、NECインターチャネル),https://www.gungho.jp/cgame/game/air/,90,85.96,14,308
うたわれるもの 二人の白皇,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=22900#ad,https://www.suruga-ya.jp/pics/boxart_m/107000564m.jpg,AQUAPLUS,https://aquaplus.jp/uta/oro/,90,89.11,10,287
Demons Roots,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=31887#ad,https://pics.dmm.co.jp/digital/game/d_368684/d_368684pl.jpg,深爪貴族,https://akamatoghost.wixsite.com/demonsroots,90,90.69,7,214
CLANNAD,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=10774#ad,https://www.suruga-ya.jp/pics/boxart_m/177000809m.jpg,PROTOTYPE,https://www.prot.co.jp/psp/clannad/index.html,90,87.74,14,203
EVE burst error,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5344#ad,https://www.suruga-ya.jp/pics/boxart_m/141000568m.jpg,イマジニア,https://eve.el-dia.net/,90,87.75,12,187
うたわれるもの 二人の白皇,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=23527#ad,https://www.suruga-ya.jp/pics/boxart_m/105001395m.jpg,AQUAPLUS,http://aquaplus.jp/uta/oro/,90,88.40,11,174
STEINS;GATE,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=15090#ad,https://www.suruga-ya.jp/pics/boxart_m/177980027m.jpg,角川書店,http://steinsgate.jp/,90,88.49,8,140
親愛なる孤独と苦悩へ,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=25761#ad,https://www.suruga-ya.jp/pics/boxart_m/186067869m.jpg,楽想目,http://rakusomoku.web.fc2.com/Shinainaru_kodokuto_kunouhe.html,90,88.34,10,137
Fate/stay night [Realta Nua],https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=17335#ad,https://www.suruga-ya.jp/pics/boxart_m/105000109m.jpg,角川ゲームス,https://www.kadokawagames.co.jp/game/fatevita/,90,87.74,10,131
CROSS†CHANNEL ～To all people～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5781#ad,https://www.suruga-ya.jp/pics/boxart_m/144001832m.jpg,KID,None,90,86.23,12,128
穢翼のユースティア ～新装版～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=24442#ad,https://pics.dmm.co.jp/digital/pcgame/abgktk_0010/abgktk_0010ps.jpg,AUGUST,https://august-soft.com/eustia_ref/index.html,90,89.34,9,125
Ever17 -the out of infinity-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5424#ad,https://www.suruga-ya.jp/pics/boxart_m/142000547m.jpg,KID,None,90,88.43,12,105
君が望む永遠 DVD specification,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2894#ad,https://www.suruga-ya.jp/pics/boxart_m/145009291m.jpg,âge(age),http://www.age-soft.com/former/Product/017/,89,84.76,13,982
シンフォニック=レイン,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3374#ad,https://img.dlsite.jp/modpub/images2/work/professional/VJ012000/VJ011519_img_main.jpg,工画堂スタジオ,https://www.kogado.com/sw/contents/kuroneko/sr/,89,86.81,10,623
月箱,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2749#ad,https://www.suruga-ya.jp/pics/boxart_m/186003308m.jpg,TYPE-MOON,http://www.typemoon.org/box/,89,85.71,13,528
ファタモルガーナの館,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=18111#ad,https://img.dlsite.jp/modpub/images2/work/doujin/RJ112000/RJ111899_img_main.jpg,Novect(Novectacle),https://novect.net/fatamorgana/,89,86.75,11,410
虚ノ少女《NEW CAST REMASTER EDITION》,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=28984#ad,https://pics.dmm.co.jp/digital/pcgame/gung_0008/gung_0008ps.jpg,Innocent Grey,http://www.gungnir.co.jp/innocentgrey/products/pro_shell2re/,89,88.25,7,293
リトルバスターズ! Converted Edition,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=14274#ad,https://www.suruga-ya.jp/pics/boxart_m/177001736m.jpg,PROTOTYPE,https://www.prot.co.jp/psp/lbc/index.html,89,86.88,10,132
車輪の国、向日葵の少女,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=6234#ad,https://pics.dmm.co.jp/digital/pcgame/akbs_0004/akbs_0004ps.jpg,あかべぇそふとつぅ,http://www.akabeesoft2.com/syarin/index.html,88,85.90,12,5442
君が望む永遠,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=1530#ad,https://pics.dmm.co.jp/mono/game/604ger0009/604ger0009ps.jpg,âge(age),http://www.age-soft.com/former/Product/Kimibo/index.htm,88,84.03,15,2389
