游戏名称,批评空间链接,图片链接,会社,游戏官网,中央值,平均值,标准偏差,评论数
水月 -すいげつ-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2019#ad,https://pics.dmm.co.jp/digital/pcgame/shall_0002/shall_0002ps.jpg,F&C,https://fandc.co.jp/suigetsu/,80,78.69,12,1361
銀色 完全版,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=1561#ad,https://pics.dmm.co.jp/digital/pcgame/hobe_0110/hobe_0110ps.jpg,ねこねこソフト,None,80,78.72,13,1269
さくらさくら,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=9834#ad,https://pics.dmm.co.jp/digital/pcgame/hiqua_0003/hiqua_0003ps.jpg,ハイクオソフト,http://www.iam-hiquality.com/soft/03sakura/,80,77.63,12,1254
アトラク＝ナクア,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=26#ad,https://pics.dmm.co.jp/mono/game/505ali0031/505ali0031ps.jpg,ALICESOFT,None,80,79.03,13,1249
narcissu,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=4682#ad,https://www.suruga-ya.jp/pics/boxart_m/186020678m.jpg,ステージ☆なな,https://www.vector.co.jp/soft/win95/amuse/se376566.html,80,79.67,12,1247
euphoria,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=15010#ad,https://pics.dmm.co.jp/digital/pcgame/hobc_0435/hobc_0435ps.jpg,CLOCKUP,http://entacom.org/clockup/product/euphoria/index.html,80,78.75,13,1247
きっと、澄みわたる朝色よりも、,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=12144#ad,https://pics.dmm.co.jp/digital/pcgame/will_0116/will_0116ps.jpg,propeller,http://www.propeller-game.com/product/kitto/top.html,80,77.39,16,1237
真剣で私に恋しなさい! S,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=14312#ad,https://pics.dmm.co.jp/digital/pcgame/hawkeye_0015/hawkeye_0015ps.jpg,みなとそふと,http://www.minatosoft.com/majikoi-s/,80,79.73,10,1233
夏ノ雨,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=12437#ad,https://pics.dmm.co.jp/digital/pcgame/cuffs_0054/cuffs_0054ps.jpg,CUBE,http://www.cuffs-cube.jp/products/natsunoame/,80,78.30,12,1162
鬼哭街 The Cyber Slayer,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=1954#ad,https://www.suruga-ya.jp/pics/boxart_m/145006278m.jpg,NitroPlus,https://www.nitroplus.co.jp/pc/lineup/into_03/,80,78.23,12,1160
ゆきうた,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3179#ad,https://pics.dmm.co.jp/mono/game/709frw0005/709frw0005ps.jpg,Survive,http://frontwing.jp/product/yukiuta/index.html,80,78.07,11,1153
水夏 ～SUIKA～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=1512#ad,https://pics.dmm.co.jp/digital/pcgame/hobe_0153/hobe_0153ps.jpg,CIRCUS,https://circus-co.jp/product/suikahp/main.html,80,78.18,12,1140
歌月十夜,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=1611#ad,https://www.suruga-ya.jp/pics/boxart_m/186001010m.jpg,TYPE-MOON,http://www.typemoon.org/box/dream.html,80,79.41,12,1139
未来ノスタルジア,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=15231#ad,https://pics.dmm.co.jp/digital/pcgame/purple_0001/purple_0001ps.jpg,Purple software,http://www.purplesoftware.jp/products/miranosu/index.html,80,78.33,10,1123
千の刃濤、桃花染の皇姫,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=20967#ad,https://pics.dmm.co.jp/digital/pcgame/abgktk_0011/abgktk_0011ps.jpg,AUGUST,http://august-soft.com/hatou/,80,79.53,9,1116
ユメミルクスリ,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=6298#ad,https://pics.dmm.co.jp/digital/pcgame/will_0066/will_0066ps.jpg,rúf(ruf),http://www.will-japan.co.jp/best/list_13.html,80,78.06,10,1082
Quartett!,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3384#ad,https://pics.dmm.co.jp/digital/pcgame/ltw_0001/ltw_0001ps.jpg,Littlewitch,http://www.littlewitch.jp/products/lw02quartett/index.html,80,79.15,11,1068
彼女たちの流儀,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=6204#ad,https://pics.dmm.co.jp/digital/pcgame/vsat_0207/vsat_0207ps.jpg,130cm,http://13cm.jp/130cm/games/theirstyles/index.html,80,78.05,10,1028
真・恋姫†無双 ～乙女繚乱☆三国志演義～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=11334#ad,https://pics.dmm.co.jp/digital/pcgame/next_0063/next_0063ps.jpg,BaseSon,http://baseson.nexton-net.jp/sinkoihime/index.html,80,79.86,11,1027
ラブラブル ～lover able～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=14116#ad,https://pics.dmm.co.jp/digital/pcgame/roboprn_0005/roboprn_0005ps.jpg,SMEE,http://www.hook-net.jp/smee/loverable/,80,78.84,10,1022
俺たちに翼はない AfterStory,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=12807#ad,https://pics.dmm.co.jp/digital/pcgame/navel_0014pack/navel_0014packps.jpg,Navel,https://www.project-navel.com/oretsuba_afterstory/,80,79.06,9,1007
"eden* They were only two, on the planet.",https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=11829#ad,https://pics.dmm.co.jp/digital/pcgame/minori_0012/minori_0012ps.jpg,minori,http://www.minori.ph/lineup/eden_/,80,80.21,10,994
吸血殲鬼ヴェドゴニア,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=219#ad,https://www.suruga-ya.jp/pics/boxart_m/145004371m.jpg,NitroPlus,https://www.nitroplus.co.jp/pc/lineup/into_02/,80,78.14,11,994
Bullet Butlers,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=8802#ad,https://pics.dmm.co.jp/digital/pcgame/will_0114/will_0114ps.jpg,propeller,http://www.propeller-game.com/product/bb/top.html,80,78.20,11,994
君と彼女と彼女の恋。,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=15929#ad,https://pics.dmm.co.jp/digital/pcgame/nitroplus_0003/nitroplus_0003ps.jpg,NitroPlus,https://www.nitroplus.co.jp/game/totono/,80,78.99,15,983
Clover Day's,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=19433#ad,https://pics.dmm.co.jp/digital/pcgame/views_0454/views_0454ps.jpg,ALcot,http://www.alcot.biz/product/cld/index.html,80,77.75,11,981
さよならを教えて ～comment te dire adieu～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=908#ad,https://img.dlsite.jp/modpub/images2/work/professional/VJ010000/VJ009745_img_main.jpg,CRAFTWORK,https://www.dlsite.com/home/dlaf/=/aid/erogamescape/url/https%3A%2F%2Fwww.dlsite.com%2Fpro%2Fcircle%2Freport%2F%3D%2Freport%2F2016012911%2F%3Futm_medium%3Daffiliate%26utm_campaign%3Dbnlink%26utm_content%3Dtext,80,79.06,13,967
星空のメモリア Eternal Heart,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=13382#ad,https://pics.dmm.co.jp/digital/pcgame/favorite_0012/favorite_0012ps.jpg,FAVORITE,http://www.favo-soft.jp/soft/product/EternalHeart/index.htm,80,79.74,10,961
ハロー・レディ!,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=19640#ad,https://pics.dmm.co.jp/digital/pcgame/akbs_0029/akbs_0029ps.jpg,暁WORKS,http://www.akatsukiworks.com/product/hello/top.html,80,79.02,9,937
姫狩りダンジョンマイスター,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=11714#ad,https://pics.dmm.co.jp/digital/pcgame/hobe_0194/hobe_0194ps.jpg,エウシュリー,https://www.eukleia.co.jp/eushully/eu010.html,80,80.27,10,937
家族計画 ～そしてまた家族計画を～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3789#ad,https://pics.dmm.co.jp/digital/pcgame/cdb_0154/cdb_0154ps.jpg,高屋敷開発,None,80,76.26,16,937
ままらぶ,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3930#ad,https://pics.dmm.co.jp/mono/game/988will109/988will109ps.jpg,HERMIT,http://www.hermit-game.com/h02/index.html,80,78.84,12,927
月光のカルネヴァーレ,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=8135#ad,https://pics.dmm.co.jp/mono/game/879ntr5006/879ntr5006ps.jpg,NitroPlus,https://www.nitroplus.co.jp/pc/lineup/into_12/index.php,80,78.76,10,924
ショコラ ～maid cafe “curio”～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2664#ad,https://pics.dmm.co.jp/digital/pcgame/eg_0052/eg_0052ps.jpg,戯画,None,80,78.28,10,920
planetarian ～ちいさなほしのゆめ～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=4350#ad,https://pics.dmm.co.jp/digital/pcgame/vsat_0252/vsat_0252ps.jpg,Key,https://key.visualarts.gr.jp/product/planetarian/,80,77.11,11,906
サナララ ～SA・NA・RA・RA～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5075#ad,https://pics.dmm.co.jp/digital/pcgame/hobe_0158/hobe_0158ps.jpg,ねこねこソフト,None,80,80.51,10,900
はるのあしおと,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3778#ad,https://pics.dmm.co.jp/digital/pcgame/minori_0010/minori_0010ps.jpg,minori,http://www.minori.ph/lineup/haru/index.html,80,78.44,15,890
Hyper→Highspeed→Genius,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=14892#ad,https://pics.dmm.co.jp/digital/pcgame/hobc_0400/hobc_0400ps.jpg,ういんどみる,https://windmill.suki.jp/product/HHG/index.html,80,78.01,10,889
フレラバ ～Friend to Lover～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=18018#ad,https://pics.dmm.co.jp/digital/pcgame/has_0002/has_0002ps.jpg,SMEE,http://www.hook-net.jp/smee/friendlover/index.html,80,80.82,10,885
ピュア×コネクト,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=21164#ad,https://pics.dmm.co.jp/digital/pcgame/has_0011/has_0011ps.jpg,SMEE,http://www.hook-net.jp/smee/pureconnect/,80,81.04,9,881
処女はお姉さまに恋してる ～2人のエルダー～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=13433#ad,https://pics.dmm.co.jp/digital/pcgame/hobc_0335/hobc_0335ps.jpg,キャラメルBOX,http://www.caramel-box.com/products/otoboku2/confirm.html,80,79.68,11,871
GALZOOアイランド,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=6582#ad,https://pics.dmm.co.jp/digital/pcgame/alice_0029/alice_0029ps.jpg,ALICESOFT,https://www.alicesoft.com/galzoo/,80,80.12,9,869
きまぐれテンプテーション,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=28088#ad,https://pics.dmm.co.jp/digital/pcgame/silkysall_0033/silkysall_0033ps.jpg,シルキーズプラスWASABI,http://www.silkysplus.jp/game/kimagure/index.html,80,80.42,8,864
秋桜の空に,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=1533#ad,https://www.suruga-ya.jp/pics/boxart_m/145004958m.jpg,Marron,None,80,79.39,12,863
ハピメア -Fragmentation Dream-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=19429#ad,https://pics.dmm.co.jp/digital/pcgame/views_0469/views_0469ps.jpg,Purple software,http://www.purplesoftware.jp/products/hapymaher-fd/,80,79.07,9,857
巨乳ファンタジー,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=12923#ad,https://pics.dmm.co.jp/digital/pcgame/waffle_0035/waffle_0035ps.jpg,Waffle,http://www.waffle1999.com/game/33titi/,80,79.94,10,849
Dear My Friend,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3730#ad,https://pics.dmm.co.jp/digital/pcgame/views_0351/views_0351ps.jpg,light,http://www.light.gr.jp/light/products/dearmy/index.htm,80,78.22,12,834
金色ラブリッチェ -Golden Time-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=27485#ad,https://pics.dmm.co.jp/digital/pcgame/sgpl_0001/sgpl_0001ps.jpg,SAGA PLANETS,http://sagaplanets.product.co.jp/works/kinkoigt/,80,80.64,9,832
キミのとなりで恋してる!,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=20913#ad,https://pics.dmm.co.jp/digital/pcgame/views_0455/views_0455ps.jpg,ALcotハニカム,http://www.h-comb.biz/new_title/13/,80,78.48,10,809
Re:LieF ～親愛なるあなたへ～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=23563#ad,https://pics.dmm.co.jp/digital/pcgame/rask_0001/rask_0001ps.jpg,RASK,http://rask-soft.com/product/first/,80,79.35,13,809
パティシエなにゃんこ,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2599#ad,https://pics.dmm.co.jp/digital/pcgame/pencil_0003/pencil_0003ps.jpg,ぱじゃまソフト,http://www.pajamas.ne.jp/pnnk/,80,77.75,13,807
Routes -ルーツ-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2595#ad,https://www.suruga-ya.jp/pics/boxart_m/145008514m.jpg,Leaf,https://leaf.aquaplus.jp/product/rts/,80,78.25,14,805
見上げてごらん、夜空の星を,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=21481#ad,https://pics.dmm.co.jp/digital/pcgame/will_0140/will_0140ps.jpg,PULLTOP,http://www.pulltop.com/full-of-stars/,80,80.12,9,801
果てしなく青い、この空の下で…。,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=582#ad,https://pics.dmm.co.jp/digital/pcgame/topcat_0001/topcat_0001ps.jpg,TOPCAT,None,80,79.71,12,781
コミュ -黒い竜と優しい王国-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=12665#ad,https://pics.dmm.co.jp/digital/pcgame/akbs_0012/akbs_0012ps.jpg,暁WORKS,http://www.akatsukiworks.com/product/com/top.html,80,77.13,13,773
この大空に、翼をひろげて FLIGHT DIARY,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=17482#ad,https://pics.dmm.co.jp/digital/pcgame/will_0163/will_0163ps.jpg,PULLTOP,http://konosora.jp/fd/,80,79.12,9,764
LOVELY×CATION2,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=17019#ad,https://pics.dmm.co.jp/digital/pcgame/akbs_0024/akbs_0024ps.jpg,hibiki works(暁WORKS響SIDE),https://www.hibiki-site.com/products/lc2/index.html,80,78.54,11,760
続・殺戮のジャンゴ ─地獄の賞金首─,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=9138#ad,https://pics.dmm.co.jp/mono/game/879ntr5009/879ntr5009ps.jpg,NitroPlus,https://www.nitroplus.co.jp/pc/lineup/into_13/index.php,80,79.97,11,759
古色迷宮輪舞曲 ～HISTOIRE DE DESTIN～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=16641#ad,https://pics.dmm.co.jp/digital/pcgame/views_0286/views_0286ps.jpg,Yatagarasu(八咫鴉),http://masterup.net/yatanootori/yatagarasu/product/furuiro/index.html,80,77.68,15,747
辻堂さんの純愛ロード,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=16812#ad,https://pics.dmm.co.jp/digital/pcgame/hawkeye_0006/hawkeye_0006ps.jpg,みなとカーニバル,http://www.minatocarnival.com/tsujidou/index.php,80,78.28,11,742
"”Hello, world.”",https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2267#ad,https://pics.dmm.co.jp/mono/game/879ntr5004/879ntr5004ps.jpg,NitroPlus,https://www.nitroplus.co.jp/pc/lineup/into_04/,80,79.15,14,737
FOLKLORE JAM,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3063#ad,https://pics.dmm.co.jp/digital/pcgame/will_0060/will_0060ps.jpg,HERMIT,None,80,78.65,11,735
エヴォリミット,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=13495#ad,https://pics.dmm.co.jp/digital/pcgame/will_0117/will_0117ps.jpg,propeller,http://www.propeller-game.com/product/evo/,80,77.98,11,730
StarTRain,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=7316#ad,https://pics.dmm.co.jp/digital/pcgame/ggs_0339/ggs_0339ps.jpg,mixed up,None,80,79.35,13,715
BALDR SKY DiveX ”DREAM WORLD”,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=13834#ad,https://pics.dmm.co.jp/mono/game/587tgi5016/587tgi5016ps.jpg,戯画,None,80,78.08,11,714
なつくもゆるる,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=18019#ad,https://pics.dmm.co.jp/digital/pcgame/crnt_0001/crnt_0001ps.jpg,すみっこソフト,http://www.sumikko-soft.com/natsukuru/,80,78.72,9,712
Magical Charming!,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=18022#ad,https://pics.dmm.co.jp/digital/pcgame/rosl_0003/rosl_0003ps.jpg,Lump of Sugar,http://www.lumpofsugar.co.jp/product/magicha/index.php,80,78.19,11,701
幻創のイデア ～Oratorio Phantasm Historia～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=18025#ad,https://pics.dmm.co.jp/digital/pcgame/ggs_1033/ggs_1033ps.jpg,3rdEye,http://3rdeye.jp/products/idea/,80,78.45,13,684
君が望む永遠 ～special FanDisk～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3686#ad,https://www.suruga-ya.jp/pics/boxart_m/145011465m.jpg,âge(age),http://www.age-soft.com/former/Product/Kiminozofd/index.html,80,77.62,11,680
最終痴漢電車3,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=14514#ad,https://pics.dmm.co.jp/digital/pcgame/kaguya_0099/kaguya_0099ps.jpg,アトリエかぐや,http://www.a-kaguya.com/products_HB/lmt3/main.html,80,78.90,11,675
アストラエアの白き永遠,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=19333#ad,https://pics.dmm.co.jp/digital/pcgame/favorite_0008/favorite_0008ps.jpg,FAVORITE,http://www.favo-soft.jp/soft/product/WhiteEternity/,80,77.48,12,665
へんし～ん!!! ～パンツになってクンクンペロペロ～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=14873#ad,https://pics.dmm.co.jp/digital/pcgame/hobc_0467/hobc_0467ps.jpg,May-Be Soft(有限会社リエーブル),http://maybe.sakura.ne.jp/soft/hen-pkp/,80,77.74,11,661
乙女理論とその後の周辺 -Belle Epoque-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=22057#ad,https://pics.dmm.co.jp/digital/pcgame/navel_0007/navel_0007ps.jpg,Navel,https://www.project-navel.com/otome_sonogo/,80,78.75,8,656
美少女万華鏡 -神が造りたもうた少女たち-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=19979#ad,https://pics.dmm.co.jp/digital/pcgame/views_0421/views_0421ps.jpg,ωstar,http://www.omega-star.jp/biman3html/,80,80.12,9,656
できない私が、くり返す。,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=20536#ad,https://pics.dmm.co.jp/digital/pcgame/akbs_0033/akbs_0033ps.jpg,あかべぇそふとすりぃ,http://www.akabeesoft3.com/products/timeleap/,80,77.18,13,647
君の名残は静かに揺れて,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=13474#ad,https://pics.dmm.co.jp/digital/pcgame/spal_0053/spal_0053ps.jpg,UNiSONSHIFT:Blossom,http://unisonshift.amusecraft.com/products/project21/main.htm,80,80.42,9,615
てのひらを、たいように,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2546#ad,https://www.suruga-ya.jp/pics/boxart_m/145008472m.jpg,Clear,http://www.russel.co.jp/hp/adult/tenohira/tenohira.html,80,76.89,13,614
DUEL SAVIOR,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=3962#ad,https://pics.dmm.co.jp/mono/game/587tge0112/587tge0112ps.jpg,戯画,None,80,78.06,11,611
処女はお姉さまに恋してる DVDフルボイスパッケージ,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=7506#ad,https://pics.dmm.co.jp/digital/pcgame/hobc_0279/hobc_0279ps.jpg,キャラメルBOX,http://www.caramel-box.com/products/otoboku/index.html,80,78.41,12,610
クロノベルト ～あやかしびと&Bullet Butlers クロスオーバーディスク～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=10737#ad,https://pics.dmm.co.jp/digital/pcgame/will_0115/will_0115ps.jpg,propeller,http://www.propeller-game.com/product/chrono/,80,78.97,10,609
戦女神2 ～失われし記憶への鎮魂歌～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2341#ad,https://pics.dmm.co.jp/digital/pcgame/hobe_0077/hobe_0077ps.jpg,エウシュリー,https://www.eukleia.co.jp/eushully/eu004.html,80,79.60,11,605
痕 -きずあと- リニューアル,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=2155#ad,https://www.suruga-ya.jp/pics/boxart_m/145006712m.jpg,Leaf,https://leaf.aquaplus.jp/product/kzr/,80,77.30,12,592
ChronoBox -クロノボックス-,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=24356#ad,https://pics.dmm.co.jp/digital/pcgame/hobe_0364/hobe_0364ps.jpg,NO_BRAND,http://product.hobibox.net/nobrandxxx/,80,79.49,12,592
痕 -きずあと- リメイク版,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=11071#ad,https://www.suruga-ya.jp/pics/boxart_m/145020222m.jpg,Leaf,https://leaf.aquaplus.jp/product/kizuato/index.html,80,78.53,10,584
魔導巧殻 ～闇の月女神は導国で詠う～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=17905#ad,https://pics.dmm.co.jp/digital/pcgame/hobe_0289/hobe_0289ps.jpg,エウシュリー,https://www.eukleia.co.jp/eushully/eu014.html,80,76.72,13,578
ドラクリウス,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=8424#ad,https://pics.dmm.co.jp/digital/pcgame/xero_0028/xero_0028ps.jpg,めろめろキュート,http://meroq.net/drac/drac_hp_news.html,80,77.27,11,576
相州戦神館學園 八命陣,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=18949#ad,https://pics.dmm.co.jp/digital/pcgame/views_0387/views_0387ps.jpg,light,http://www.light.gr.jp/light/products/senshinkan/,80,79.56,12,572
わんことくらそう,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=6838#ad,https://pics.dmm.co.jp/digital/pcgame/ggs_0290/ggs_0290ps.jpg,ivory,None,80,78.00,11,570
創作彼女の恋愛公式,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=31106#ad,https://pics.dmm.co.jp/digital/pcgame/akbs_0127/akbs_0127ps.jpg,Aino+Links,http://ainolinks.com/,80,78.89,13,559
DUEL SAVIOR JUSTICE,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=6018#ad,https://www.suruga-ya.jp/pics/boxart_m/145013091m.jpg,戯画,None,80,78.58,12,554
輝光翼戦記 天空のユミナ,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=10991#ad,https://pics.dmm.co.jp/mono/game/1511will280/1511will280ps.jpg,ETERNAL,http://www.eternal-will.jp/yumina/,80,78.07,13,542
もののあはれは彩の頃。,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=24662#ad,https://pics.dmm.co.jp/digital/pcgame/hobe_0377/hobe_0377ps.jpg,QUINCE SOFT,http://quincesoft.jp/product/sainokoro/,80,80.88,9,539
AMBITIOUS MISSION,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=32004#ad,https://pics.dmm.co.jp/digital/pcgame/sgpl_0003/sgpl_0003ps.jpg,SAGA PLANETS,https://sagapla.net/works/ambitious/,80,78.77,11,535
バタフライシーカー,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=26026#ad,https://pics.dmm.co.jp/digital/pcgame/silkysall_0022/silkysall_0022ps.jpg,シルキーズプラスA5和牛,http://www.silkysplus.jp/game/butterfly/index.html,80,78.31,10,524
夜明け前より瑠璃色な -Brighter than dawning blue- PC版,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=12335#ad,https://pics.dmm.co.jp/digital/pcgame/abgktk_0014/abgktk_0014ps.jpg,AUGUST,https://august-soft.com/yak_mc/index.html,80,79.24,10,520
神咒神威神楽,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=14822#ad,https://pics.dmm.co.jp/digital/pcgame/views_0363/views_0363ps.jpg,light,http://www.light.gr.jp/light/products/kajirikamuikagura/index.html,80,78.89,14,519
ソーサレス＊アライヴ! ～the World's End Fallen Star～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=26980#ad,https://pics.dmm.co.jp/digital/pcgame/digination_0003/digination_0003ps.jpg,Fluorite,https://fanzagames-digination.com/fluorite/sorceress-alive/,80,79.05,13,516
ソレヨリノ前奏詩,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=20817#ad,https://pics.dmm.co.jp/mono/game/694sw077ex/694sw077exps.jpg,minori,http://www.minori.ph/lineup/_yorino/,80,79.07,11,513
シンソウノイズ ～受信探偵の事件簿～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=23974#ad,https://pics.dmm.co.jp/digital/pcgame/digination_0001/digination_0001ps.jpg,Azurite,https://fanzagames-digination.com/azurite/shinso/,80,78.85,14,513
さくらむすび,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=5139#ad,https://www.suruga-ya.jp/pics/boxart_m/145013148m.jpg,CUFFS,http://www.cuffs.co.jp/products/sakuramusubi/,80,80.25,12,512
僕はキミだけを見つめる ～I gaze at only you～,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=22100#ad,https://pics.dmm.co.jp/digital/pcgame/sesyg_0016/sesyg_0016ps.jpg,インレ,http://inre-soft.com/bokukimi/top.html,80,78.25,11,509
